grad,board_index,board_number,board_line,full_rows,full_cols,active_rows,active_cols,start_soft_locked,solved,beam_move_count,cleaned_move_count,elapsed_seconds,beam_moves,cleaned_moves
16,0,1,65033,8,8,6,7,False,True,6,6,0.02,URRDRR,URRDRR
16,1,2,65043,8,8,7,7,False,True,22,22,2.19,RRDDDRLUUUURRDLULDDDRD,RRDDDRLUUUURRDLULDDDRD
16,2,3,65053,8,8,6,6,False,True,10,10,0.10,LDRRLDDRUR,LDRRLDDRUR
16,3,4,65063,8,8,6,6,False,True,13,13,0.05,RLLUURRDRDLUL,RLLUURRDRDLUL
16,4,5,65073,8,8,6,6,True,True,15,15,0.02,RRUURULDDDRUULU,RRUURULDDDRUULU
16,5,6,65083,8,8,6,6,False,True,18,18,0.15,UUURRDDUULLDDDRRUR,UUURRDDUULLDDDRRUR
16,6,7,65093,8,8,8,8,False,False,0,0,>350,TIMEOUT,
16,7,8,65103,8,8,8,8,False,True,80,80,190.73,RRRRRDDLURULDDDDDDRDLURRUULULDDRDDLLLLUUUULDLDRDRDRRRRUULDRDLLLRRUUUUUUULLLDDDDD,RRRRRDDLURULDDDDDDRDLURRUULULDDRDDLLLLUUUULDLDRDRDRRRRUULDRDLLLRRUUUUUUULLLDDDDD
16,8,9,65113,8,8,8,8,False,True,49,49,98.98,RRRURUUUUUDRRLULDDDLLULULUURDDLDDUURDLDRRRDRUUURU,RRRURUUUUUDRRLULDDDLLULULUURDDLDDUURDLDRRRDRUUURU
16,9,10,65123,8,8,8,8,False,True,45,45,101.37,RDDDDLDLLURRDRUUUURUULLULLDRURDRDRDDLUURULLLL,RDDDDLDLLURRDRUUUURUULLULLDRURDRDRDDLUURULLLL
16,10,11,65133,8,8,8,8,False,True,34,34,62.94,RRUULLLLURLDDLLLUURRRDRUUUDDLLUUUR,RRUULLLLURLDDLLLUURRRDRUUUDDLLUUUR
16,11,12,65143,8,8,6,6,False,True,14,14,0.12,DUURRDDLDLUURU,DUURRDDLDLUURU
16,12,13,65153,8,8,8,8,False,True,49,49,107.30,RRDRLDLLDDRDRDRRDRRUDLLURURUURULUDDDDLDDRUUUUURUL,RRDRLDLLDDRDRDRRDRRUDLLURURUURULUDDDDLDDRUUUUURUL
16,13,14,65163,8,8,8,8,False,False,0,0,>350,TIMEOUT,
16,14,15,65173,8,8,8,8,False,False,0,0,>350,TIMEOUT,
16,15,16,65183,8,8,8,8,False,True,37,37,53.12,DDDLDLLULURDDRRULLRRRRDRRULLLLLDLUUUU,DDDLDLLULURDDRRULLRRRRDRRULLLLLDLUUUU
16,16,17,65193,8,8,8,8,False,False,0,0,>350,TIMEOUT,
16,17,18,65203,8,8,8,8,False,True,38,38,57.48,RRDRRDDDDLLLLUULUULURLLUURRDDDDLDRRDDR,RRDRRDDDDLLLLUULUULURLLUURRDDDDLDRRDDR
16,18,19,65213,8,8,8,8,False,True,29,29,35.15,RDDLLDLLULLDRDDRDLRRRULLDLUUU,RDDLLDLLULLDRDDRDLRRRULLDLUUU
16,19,20,65223,8,8,8,8,False,True,64,64,153.25,DRRDRUDDDDDRDLUUUULLDLDRRLUURRURRUURRDDLRUULDLDLLDDDRDDLUUUULURR,DRRDRUDDDDDRDLUUUULLDLDRRLUURRURRUURRDDLRUULDLDLLDDDRDDLUUUULURR
16,20,21,65233,8,8,8,8,False,True,33,33,60.16,DDLDDRUUUUURURRDLLULDDDDDDLDRRRUR,DDLDDRUUUUURURRDLLULDDDDDDLDRRRUR
16,21,22,65243,8,8,8,8,False,False,0,0,>350,TIMEOUT,
16,22,23,65253,8,8,8,8,False,False,0,0,>350,TIMEOUT,
16,23,24,65263,8,8,6,6,False,True,13,13,0.05,RRULDLDDRUURU,RRULDLDDRUURU
16,24,25,65273,8,8,8,8,False,True,38,38,87.39,RRDDRRDDDLLULDLLUDLDURRRURURDRDLLLLLDL,RRDDRRDDDLLULDLLUDLDURRRURURDRDLLLLLDL
16,25,26,65283,8,8,8,8,False,False,0,0,>350,TIMEOUT,
16,26,27,65293,8,8,7,6,False,True,13,13,0.35,UURRDLULDDDRD,UURRDLULDDDRD
16,27,28,65303,8,8,8,8,True,True,29,29,21.73,LULDULLLURLULUURDRDDLDRRLDRRU,LULDULLLURLULUURDRDDLDRRLDRRU
16,28,29,65313,8,8,8,8,False,True,26,26,20.88,UUDDRRUULUURDRURRUULDRDLLL,UUDDRRUULUURDRURRUULDRDLLL
16,29,30,65323,8,8,8,8,False,True,60,60,181.53,LLURLLLULLRURRDUULDDDDLUDLLURRDRUUURUURRLUDDLDLLURLDDRRUUURU,LLURLLLULLRURRDUULDDDDLUDLLURRDRUUURUURRLUDDLDLLURLDDRRUUURU
16,30,31,65333,8,8,8,8,False,True,51,51,140.83,RRDLLDDDURUUDDDDRRURLLDRDRRULDLULULRDRRULLDLUUULURR,RRDLLDDDURUUDDDDRRURLLDRDRRULDLULULRDRRULLDLUUULURR
