grad,board_index,board_number,weight,solved,status,move_count,elapsed_seconds,moves
16,0,1,0.0,True,finished,6,0.03,DRRURR
16,2,3,0.0,True,finished,10,0.05,LDRRLDDRUR
16,3,4,0.0,True,finished,23,0.03,LUURRLLDDRRLLUURRDRDLUL
16,5,6,0.0,True,finished,22,0.09,RRRUULLRRDDLUDLLUURRDR
16,8,9,0.0,True,finished,59,89.81,RRRURUUUUUDRRLULDDDLLLLDDUURUULDUUURDLDDDUUURDDLDRRRDRUUURU
16,9,10,0.0,True,finished,99,167.26,URDDRDDDLLDRLLLLLUUDLURRDRDRRULLLRRRRUUURUULLDRURDDDDLUUULUULLDRURDRDDDDDLLLLULLDRRRRRDRUUUUURULLLL
16,11,12,0.0,True,finished,14,0.10,DUURRDDLDLUURU
16,12,13,0.0,True,finished,54,56.84,DRDRULDRLDDLDDDRRURRDRRUDLLURURUURULUDDDDLDDRUUUUURULL
16,13,14,0.0,False,timeout,0,350.27,
16,16,17,0.0,False,timeout,0,350.25,
16,17,18,0.0,True,finished,40,26.60,RRDULLRRDRRDDDDLLLULULUULURLLUURRDDDDLDR
16,19,20,0.0,True,finished,56,70.16,DRURRLDDRUDRRDRRUULULDRDLLRRRDDDLDDLLUULUULUURDDDULLDLDR
16,20,21,0.0,True,finished,39,39.10,DRRDRUDLDDLLRRRULULLUUURURRDLLULDDDLDRR
16,22,23,0.0,True,finished,75,105.04,LDDDDRDLDRRRULDRRRRRUUUULDLDURRDLRDDLUUUUURUULLLLDURRDLLLDURRDLURRURRDLLLDL
16,23,24,0.0,True,finished,15,0.02,RRULRDLLDDRUURU
16,24,25,0.0,True,finished,44,60.10,DLURRRRLDDRRDDDLLULDLLUDLDURRRURURDRDLLLLLDL
16,25,26,0.0,False,timeout,0,350.26,
16,26,27,0.0,True,finished,13,0.22,UURRDLULDDDRD
16,27,28,0.0,True,finished,55,76.02,LURULDDRUUDLLLLLURLULUURDRDDLDRRRDLRRRUUUUDDLUDRDDLUURU
